삼성전자 2018 노트북9 Always NT900X3U-K24,펜티엄 골드,4,128,1255500,995,13.3,내장
삼성전자 노트북5 NT500R5M-K24A,펜티엄 골드,4,128,733060,1860,15.6,내장
레노버 아이디어패드 Slim3-14IML PWS 81WA00ACKR,펜티엄 골드,4,128,443310,1500,14,내장
삼성전자 노트북7 NT730XBV-A28A WIN10,펜티엄 골드,8,256,1915790,1290,13.3,내장
삼성전자 노트북5 NT550EAA-K24,펜티엄 골드,4,128,676990,1900,15.6,내장
삼성전자 노트북9 metal NT900X3J-K24W,펜티엄 골드,4,128,998000,860,13.3,내장
삼성전자 2017 노트북9 Always NT900X5N-KSF,펜티엄 골드,4,128,1150000,980,15,내장
삼성전자 2017 노트북9 Always NT900X3Y-AD2S WIN10,펜티엄 골드,8,128,1438190,799,13.3,내장
삼성전자 노트북9 metal NT900X3R-KD2S WIN10,펜티엄 골드,8,128,1209000,860,13.3,내장
삼성전자 노트북5 NT500R5M-K24S,펜티엄 골드,4,128,733060,1860,15.6,내장
삼성전자 노트북 플러스2 NT550XDA-KH28W,펜티엄 골드,8,256,985000,1810,15.6,내장
LG전자 2018 그램 13Z980-LR1PK,펜티엄 골드,4,256,1139550,965,13.3,내장
삼성전자 노트북5 NT500R5M-K25B,펜티엄 골드,4,500,735080,1920,15.6,내장
삼성전자 노트북5 NT550EAA-K24A,펜티엄 골드,4,128,733060,1900,15.6,내장
LG전자 2018 그램 15Z980-LR1DK,펜티엄 골드,4,128,1186800,1090,15.6,내장
삼성전자 2019 노트북9 Always NT950XBE-K28,펜티엄 골드,8,256,1514790,1250,15,내장
삼성전자 노트북5 NT500R5M-K23B,펜티엄 골드,4,500,726800,1950,15.6,내장
삼성전자 노트북5 metal NT560XAA-K24A,펜티엄 골드,4,128,744000,1900,15.6,내장
삼성전자 2018 노트북 Pen NT930QAA-K28,펜티엄 골드,8,128,2160300,995,13.3,내장
LG전자 2018 그램 14Z980-LR10K,펜티엄 골드,4,128,1049990,995,14,내장
삼성전자 노트북5 metal NT550XAA-K24A,펜티엄 골드,4,128,699990,1900,15.6,내장
삼성전자 노트북9 metal NT900X5J-K24W,펜티엄 골드,4,128,1999000,1290,15,내장
삼성전자 노트북5 NT500R5M-K27W,펜티엄 골드,8,1000,751730,1920,15.6,내장
MSI GE시리즈 GE76 레이더 11UG WIN10,i7-11세대,16,512,2749000,2900,17.3,외장
DELL 보스트로 15 3500 0003KR WIN10,i5-11세대,4,256,684470,1780,15.6,내장
Razer BLADE STEALTH 13 11Gen G1650Ti,i7-11세대,16,512,2799000,1410,13.3,외장
Razer Book 13 11Gen FHD TOUCH,i7-11세대,16,256,2099000,1340,13.4,내장
레노버 아이디어패드 Slim5-14ITL 7W M16,i7-11세대,16,256,1189000,1390,14,외장
레노버 아이디어패드 Slim5-15ITL Premiere Plus i7 WIN10,i7-11세대,16,256,1295000,1690,15.6,외장
MSI Stealth 15M A11SDK 화이트 WIN10 32GB램,i7-11세대,32,512,1880000,1690,15.6,외장
MSI Stealth 15M A11SDK 화이트 WIN10 64GB램,i7-11세대,64,512,2100000,1690,15.6,외장
MSI Stealth 15M A11SDK 카본 그레이 WIN10 64GB램,i7-11세대,64,512,2260000,1690,15.6,외장
레노버 아이디어패드 Slim5-15ITL Premiere i7 WIN10,i7-11세대,8,256,1128950,1690,15.6,외장
